Hora,Precio
1667790000,102.65
1667793600,100.89
1667797200,105.09
1667800800,131.34
1667804400,154.31
1667808000,159.93
1667811600,146.2
1667815200,103.8
1667818800,102.65
1667822400,100.32
1667826000,97.68
1667829600,98.87
1667833200,99.2
1667836800,107.0
1667840400,147.25
1667844000,154.31
1667847600,159.72
1667851200,149.54
1667854800,125.53
1667858400,103.61
1667862000,102.0
1667865600,96.03
1667869200,88.01
1667872800,85.76
1667876400,79.76
1667880000,72.25
1667883600,88.01
1667887200,96.1
1667890800,132.61
1667894400,138.16
1667898000,120.81
1667901600,113.87
1667905200,99.5
1667908800,96.58
1667912400,98.0
1667916000,100.75
1667919600,106.0
1667923200,131.28
1667926800,145.0
1667930400,156.89
1667934000,158.9
1667937600,147.78
1667941200,127.95
1667944800,129.22
1667948400,112.26
1667952000,107.35
1667955600,101.75
1667959200,100.41
1667962800,97.27
1667966400,97.27
1667970000,100.0
1667973600,124.06
1667977200,145.53
1667980800,156.38
1667984400,148.51
1667988000,135.17
1667991600,125.61
1667995200,125.35
1667998800,123.64
1668002400,125.0
1668006000,127.0
1668009600,148.21
1668013200,163.81
1668016800,172.92
1668020400,190.0
1668024000,160.39
1668027600,148.51
1668031200,131.27
1668034800,124.96
1668038400,119.28
1668042000,114.52
1668045600,109.91
1668049200,106.61
1668052800,105.63
1668056400,116.0
1668060000,130.31
1668063600,146.46
1668067200,155.01
1668070800,141.42
1668074400,130.61
1668078000,116.0
1668081600,114.56
1668085200,113.75
1668088800,110.0
1668092400,110.4
1668096000,132.74
1668099600,155.39
1668103200,178.0
1668106800,199.39
1668110400,190.38
1668114000,167.9
1668117600,139.92
1668121200,130.61
1668124800,139.05
1668128400,135.29
1668132000,126.06
1668135600,109.23
1668139200,104.0
1668142800,108.74
1668146400,117.0
1668150000,139.39
1668153600,141.86
1668157200,127.47
1668160800,113.3
1668164400,106.0
1668168000,106.0
1668171600,102.98
1668175200,100.0
1668178800,100.5
1668182400,110.0
1668186000,135.29
1668189600,138.39
1668193200,142.39
1668196800,145.9
1668200400,136.09
1668204000,124.16
1668207600,99.33
1668211200,123.57
1668214800,97.0
1668218400,90.69
1668222000,89.98
1668225600,89.98
1668229200,89.0
1668232800,89.98
1668236400,87.64
1668240000,89.0
1668243600,87.41
1668247200,82.63
1668250800,80.18
1668254400,78.32
1668258000,78.16
1668261600,78.16
1668265200,78.32
1668268800,82.9
1668272400,116.99
1668276000,146.56
1668279600,161.45
1668283200,177.44
1668286800,162.18
1668290400,149.26
1668294000,142.52
1668297600,142.86
1668301200,135.29
1668304800,130.01
1668308400,127.0
1668312000,134.07
1668315600,135.29
1668319200,135.29
1668322800,143.0
1668326400,137.27
1668330000,127.37
1668333600,111.33
1668337200,106.0
1668340800,104.99
1668344400,106.0
1668348000,104.0
1668351600,101.56
1668355200,111.38
1668358800,135.48
1668362400,160.6
1668366000,170.23
1668369600,158.26
1668373200,150.8
1668376800,155.57
1668380400,136.87
1668384000,149.29
1668387600,140.93
1668391200,127.66
1668394800,124.52
1668398400,115.99
1668402000,144.92
1668405600,140.93
1668409200,155.48
1668412800,170.0
1668416400,172.77
1668420000,159.81
1668423600,150.17
1668427200,140.93
1668430800,119.52
1668434400,115.47
1668438000,115.22
1668441600,119.88
1668445200,148.67
